text,label,text_length,word_count,processed_text,char_count,avg_word_length,punctuation_count,uppercase_count
Why was I charged for card payment?,15,35,7,charged card payment,35,4.142857142857143,1,2
I need to add money to my account. Can I do so via bank transfer?,65,65,15,need add money account via bank transfer,65,3.4,2,3
"Hi, i don't know what's going on i've just paid for my top up twice by accident can you help me get a refund please.",61,116,25,dont know whats going ive paid top twice accident help get refund please,116,3.68,5,1
Will my employer be able to pay me with this service,50,52,11,employer able pay service,52,3.8181818181818183,0,1
They charged me for paying with my card.,15,40,8,charged paying card,40,4.125,1,1
how do I get a disposable virtual card?,37,39,8,get disposable virtual card,39,4.0,1,1
Why is my payment pending?,45,26,5,payment pending,26,4.4,1,1
What is this direct debit I am seeing?,28,38,8,direct debit seeing,38,3.875,1,2
Can I add money to top up my account via a bank transfer?,65,57,13,add money top account via bank transfer,57,3.4615384615384617,1,2
Why was there a fee with my cash withdrawal?,19,44,9,fee cash withdrawal,44,4.0,1,1
What is the extra fee that was added when I used the card?,15,58,13,extra fee added used card,58,3.5384615384615383,1,2
What documents do I need to get together to verify my identity?,69,63,12,document need get together verify identity,63,4.333333333333333,1,2
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",13,98,18,would like reactivate card previously reported lost found morning,98,4.444444444444445,3,2
"Hi, I tried to withdraw some money from an ATM and the machine was broken.  It says that the transaction is still in progress.  Can you double check to see what's happening? I don't want to be charged since I was not able to withdraw the money.",46,244,47,tried withdraw money atm machine broken say transaction still progress double check see whats happening dont want charged since able withdraw money,244,4.170212765957447,7,9
I got less cash than what I specified for through the ATM.,75,58,12,got le cash specified atm,58,3.9166666666666665,1,5
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,17,89,17,exchange rate charged extra payment made last saturday,89,4.235294117647059,2,4
I did a transaction this morning and now I want to cancel it.,8,61,13,transaction morning want cancel,61,3.769230769230769,1,2
I need to find out what is the limit for top-ups.,60,49,11,need find limit topups,49,3.5454545454545454,2,1
How long will delivery to the US take?,12,38,8,long delivery take,38,3.875,1,3
Will I be charged a fee to top up using a debit or credit card?,57,63,15,charged fee top using debit credit card,63,3.2666666666666666,1,2
What is my foreign exchange rate?,32,33,6,foreign exchange rate,33,4.666666666666667,1,1
The app has rejected my top up.,59,31,7,app rejected top,31,3.5714285714285716,1,1
Do you have any options to top up with a cheque on my account?,58,62,14,option top cheque account,62,3.5,1,1
When will my money be in my account?,67,36,8,money account,36,3.625,1,1
I don't recognize some transactions.  Is someone else using it?,22,63,10,dont recognize transaction someone else using,63,5.3,3,2
Under what condition will my payment revert?,53,44,7,condition payment revert,44,5.428571428571429,1,1
My card is about to expire. How much does it cost to order a new one and how fast will I get it?,9,96,23,card expire much cost order new one fast get,96,3.217391304347826,2,3
Is my new bank card on the way and is there a way to track it?,11,62,16,new bank card way way track,62,2.9375,1,1
How many disposable cards am I allowed to have?,29,47,9,many disposable card allowed,47,4.333333333333333,1,2
Explain what the pending payment means?,45,39,6,explain pending payment mean,39,5.666666666666667,1,1
How long do I need to wait til my top up isn't pending?,47,55,13,long need wait til top isnt pending,55,3.3076923076923075,2,2
How much does it cost to get a new card?  Mine is almost expired.  How fast does it come?,9,89,19,much cost get new card mine almost expired fast come,89,3.6315789473684212,3,3
How can I top-up my limit?,60,26,6,topup limit,26,3.5,2,2
I think someone is using my card without my permission!,22,55,10,think someone using card without permission,55,4.6,1,1
I lost my wallet and I think someone is withdrawing cash with my card. Please help. It is urgent.,20,97,19,lost wallet think someone withdrawing cash card please help urgent,97,4.157894736842105,3,4
There is a payment that has not processed.,45,42,8,payment processed,42,4.375,1,1
Will I be charged for adding money using an international card?,57,63,11,charged adding money using international card,63,4.818181818181818,1,2
I was charged more when I transferred!,64,38,7,charged transferred,38,4.571428571428571,1,2
How do I change the details in my account?,30,42,9,change detail account,42,3.7777777777777777,1,2
What is going on? My top-up is still pending. I use your system all the time but now it is just showing as pending.,47,115,24,going topup still pending use system time showing pending,115,3.8333333333333335,4,3
Why is there a direct debit payment on my statement that I didn't do?,28,69,14,direct debit payment statement didnt,69,4.0,2,2
I wondered if multiple currencies is okay?,36,42,7,wondered multiple currency okay,42,5.142857142857143,1,1
Can I change my card PIN?,21,25,6,change card pin,25,3.3333333333333335,1,5
"I was charged twice for a restaurant, can you take the second charge off?",63,73,14,charged twice restaurant take second charge,73,4.285714285714286,2,1
Card payment didn't go through.,25,31,5,card payment didnt,31,5.4,2,1
How often am I able to top-up?,60,30,7,often able topup,30,3.4285714285714284,2,2
where is my unknown payment from?,16,33,6,unknown payment,33,4.666666666666667,1,0
How long does a check take to show up in the account balance?,6,61,13,long check take show account balance,61,3.769230769230769,1,1
I want to see what this fee is on my card payment.,15,50,12,want see fee card payment,50,3.25,1,1
What are the various currencies and cards that you offer support for?,54,69,12,various currency card offer support,69,4.833333333333333,1,1
Where can I find the auto-top option?,4,37,7,find autotop option,37,4.428571428571429,2,2
"I think a card payment I made was cancelled, can you check?",53,59,12,think card payment made cancelled check,59,4.0,2,2
Is there a fee for extra cards?,39,31,7,fee extra card,31,3.5714285714285716,1,1
I need a physical card.  What are the fees?,43,43,9,need physical card fee,43,3.7777777777777777,2,2
What do I do if my card is stolen?,41,34,9,card stolen,34,2.888888888888889,1,2
Why didn't my transfer complete?,35,32,5,didnt transfer complete,32,5.6,2,1
Can you tell me how to tell where my funds come from?,70,53,12,tell tell fund come,53,3.5,1,1
I put money in my account a week ago but its still not there?? What happened to my money?,6,89,19,put money account week ago still happened money,89,3.736842105263158,3,2
how do i get into my account and edit my details,30,48,11,get account edit detail,48,3.4545454545454546,0,0
"I'm looking at my statement, and my refund is not on there.",51,59,12,looking statement refund,59,4.0,3,1
"Would you please tell me the status of my refund request for a large purchase I made not long ago? I contacted the merchant nearly a week ago, but haven't received it.",51,167,32,would please tell status refund request large purchase made long ago contacted merchant nearly week ago havent received,167,4.25,4,3
Do you have a return policy?,52,28,6,return policy,28,3.8333333333333335,1,1
What is this $1 charge on my account?,34,37,8,charge account,37,3.75,2,1
Will I be sent a new card before mine expires?,9,46,10,sent new card mine expires,46,3.7,1,2
Do I need to do anything? My phone was stolen yesterday.,42,56,11,need anything phone stolen yesterday,56,4.181818181818182,2,3
Are there any charges for topping up my card?,57,45,9,charge topping card,45,4.111111111111111,1,1
I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's broken?,27,128,21,tried buy something online yesterday kept saying declined tried today thing happened whats broken,128,5.142857142857143,4,3
Is it possible to exchange currencies using the app?,33,52,9,possible exchange currency using app,52,4.888888888888889,1,1
Why did I get charged for a withdrawal?,19,39,8,get charged withdrawal,39,4.0,1,2
I want to use my card. How do I activate it?,0,44,11,want use card activate,44,3.090909090909091,2,3
There is a direct debit payment that I did not make.,28,52,11,direct debit payment make,52,3.8181818181818183,1,2
Please explain why my top-up didn't go through.,59,47,8,please explain topup didnt,47,5.0,3,1
Is the top up feature available on the Apple Watch?,2,51,10,top feature available apple watch,51,4.2,1,3
Why was I chaged twice for the same thing?,63,42,9,chaged twice thing,42,3.7777777777777777,1,2
Do you accept US credit cards?,54,30,6,accept credit card,30,4.166666666666667,1,3
I was charged a fee for withdrawing cash.,19,41,8,charged fee withdrawing cash,41,4.25,1,1
How long before a bank transfer shows up in the account?,5,56,11,long bank transfer show account,56,4.181818181818182,1,1
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",34,99,21,looked statement charge dont recognize,99,3.7142857142857144,4,3
Where can I find my card PIN?,38,29,7,find card pin,29,3.2857142857142856,1,5
Why has my card payment been declined?,25,38,7,card payment declined,38,4.571428571428571,1,1
What countries do you do business in?,24,37,7,country business,37,4.428571428571429,1,1
My cash withdrawal was declined.  Why?,26,38,6,cash withdrawal declined,38,5.333333333333333,2,2
What is the fee for a cash withdrawal?,19,38,8,fee cash withdrawal,38,3.875,1,1
Can you please explain disposable virtual cards for me?,37,55,9,please explain disposable virtual card,55,5.222222222222222,1,1
My transaction is still showing that is pending from my cash withdrawal.,46,72,12,transaction still showing pending cash withdrawal,72,5.083333333333333,1,1
I need a new card.,39,18,5,need new card,18,2.8,1,1
Is there any way to get another card on the same account?,39,57,12,way get another card account,57,3.8333333333333335,1,1
How can I top up with my apple watch?,2,37,9,top apple watch,37,3.2222222222222223,1,2
I can't remember what my password is,44,36,7,cant remember password,36,4.285714285714286,1,1
who can put money in my account?,70,32,7,put money account,32,3.7142857142857144,1,0
I cant get money out of the ATM with my card.  I just put my card in the ATM but it will not allow me to take any money out.  What do I need to do to fix this?,26,159,39,cant get money atm card put card atm allow take money need fix,159,3.051282051282051,3,10
Can you tell me why I can't make any transactions?,14,50,10,tell cant make transaction,50,4.1,2,2
I see a reverted payment on my account. Why has this happened?,53,62,12,see reverted payment account happened,62,4.25,2,2
I think my card payment has been stopped,53,40,8,think card payment stopped,40,4.125,0,1
How can I get the cash deposit to show up on my account?,6,56,13,get cash deposit show account,56,3.3846153846153846,1,2
Why is there an additional fee showing on the statement I received?,34,67,12,additional fee showing statement received,67,4.666666666666667,1,2
I've been waiting for a refund where is it?,51,43,9,ive waiting refund,43,3.888888888888889,2,1
What are the reasons for a declined transfer?,27,45,8,reason declined transfer,45,4.75,1,1
"I'm waiting for a transfer from the US, how much longer?",67,56,11,waiting transfer much longer,56,4.181818181818182,3,3
Do I need to do anything special for my friend to send money to my account?,50,75,16,need anything special friend send money account,75,3.75,1,2
How many card payments can I use on a disposable card?,29,54,11,many card payment use disposable card,54,4.0,1,2
Currently my card is broken.,14,28,5,currently card broken,28,4.8,1,1
My account is devoid of funds. Am I permitted to submit additional money via bank transfer?,65,91,16,account devoid fund permitted submit additional money via bank transfer,91,4.75,2,3
I want to use my American Express for adding money into my account.,54,67,13,want use american express adding money account,67,4.230769230769231,1,3
How can I get cash back? The ATM just gave me the wrong amount that I've been actually charged though...,75,104,20,get cash back atm gave wrong amount ive actually charged though,104,4.25,5,7
i tried to do a transfer to an account but it didn't work,7,57,13,tried transfer account didnt work,57,3.4615384615384617,1,0
Why was my cash withdrawal given the wrong exchange rate?,76,57,10,cash withdrawal given wrong exchange rate,57,4.8,1,1
The refund isn't showing up on my account.,51,42,8,refund isnt showing account,42,4.375,2,1
How can I edit my personal details in the app?,30,46,10,edit personal detail app,46,3.7,1,2
After trying to update my account balance yesterday by cheque it doesn't seem to working. Shouldn't the process be quicker? I need my account looked at because there appears to be a problem.,6,190,33,trying update account balance yesterday cheque doesnt seem working shouldnt process quicker need account looked appears problem,190,4.787878787878788,5,3
Why did I get charged one pound seemingly randomly?,34,51,9,get charged one pound seemingly randomly,51,4.777777777777778,1,2
There was a direct debit transaction I have don't think should be there.,28,72,13,direct debit transaction dont think,72,4.615384615384615,2,2
My identity can't be verified for some reason,68,45,8,identity cant verified reason,45,4.75,1,1
Are there any ATM machines near me?,3,35,7,atm machine near,35,4.142857142857143,1,4
What all is needed to verify the top-up card?,71,45,9,needed verify topup card,45,4.111111111111111,2,1
My payment is in the app but hasn't gone through yet,45,52,11,payment app hasnt gone yet,52,3.8181818181818183,1,1
A Bank ATM did not give my card back. What do I do now?,18,55,14,bank atm give card back,55,3.0,2,7
Can you tell me the cost of a transfer?,56,39,9,tell cost transfer,39,3.4444444444444446,1,1
Is there a limit on top-ups?,60,28,6,limit topups,28,3.8333333333333335,2,1
I do not have my pin,38,20,6,pin,20,2.5,0,1
Why are you charging me for ATM withdrawal? It has always been free before.,19,75,14,charging atm withdrawal always free,75,4.428571428571429,2,5
"Hello, there seems to be a billing mistake associated with my account.  My app was charged $1 more than it should have.  Could you please explain why this may have happened?",34,173,31,hello seems billing mistake associated account app charged could please explain may happened,173,4.548387096774194,5,3
My top up did not complete.,47,27,6,top complete,27,3.6666666666666665,1,1
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",13,86,19,want reactivate card thought lost found jacket,86,3.5789473684210527,2,3
My card payment did not work.,25,29,6,card payment work,29,4.0,1,1
Why is my withdrawal wrong? I took out $100 but only received $20.,75,66,13,withdrawal wrong took received,66,4.153846153846154,4,2
Is it possible to top up with Google Pay?,2,41,9,possible top google pay,41,3.6666666666666665,1,3
I think my top up did not work,59,30,8,think top work,30,2.875,0,1
Can I have more disposable cards?,29,33,6,disposable card,33,4.666666666666667,1,2
My source of funds need verification.,70,37,6,source fund need verification,37,5.333333333333333,1,1
I would like to transfer money into my account.,65,47,9,would like transfer money account,47,4.333333333333333,1,1
Where do I go to see the source of my available money?,70,54,12,see source available money,54,3.5833333333333335,1,2
I need to know which flat currencies are supported by you.,36,58,11,need know flat currency supported,58,4.363636363636363,1,1
"I shouldn't have been charged but I see a fee, why?",15,51,11,shouldnt charged see fee,51,3.727272727272727,3,2
My account shows I made a debit payment to someone that I can't recall and would like to find out who the payment was made to.,28,126,26,account show made debit payment someone cant recall would like find payment made,126,3.8846153846153846,2,3
What is your opinion on the exchange rate?,32,42,8,opinion exchange rate,42,4.375,1,1
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",35,215,46,currently process buying flat waiting mortgage keep showing error know could causing help get money,215,3.6739130434782608,3,4
"I tried to make a withdrawal from the ATM, but it was cancelled.",26,64,13,tried make withdrawal atm cancelled,64,4.0,2,4
Where can I find an ATM?,3,24,6,find atm,24,3.1666666666666665,1,5
Why does top-up need verifying?,71,31,5,topup need verifying,31,5.4,2,1
What steps do I need to get another card?,39,41,9,step need get another card,41,3.6666666666666665,1,2
Why do i have to verify my top-up card?,71,39,9,verify topup card,39,3.4444444444444446,2,1
Can you tell me what I need to do to have my pin changed?,21,57,14,tell need pin changed,57,3.142857142857143,1,2
The app shows a withdrawal that I did not make or authorize.,20,60,12,app show withdrawal make authorize,60,4.083333333333333,1,2
"I want to hold and exchange fiat currencies, what can I use to do so?",36,69,15,want hold exchange fiat currency use,69,3.6666666666666665,2,2
For topping-up is there a charge?,56,33,6,toppingup charge,33,4.666666666666667,2,1
Why do you need to know where my money is coming from?,70,54,12,need know money coming,54,3.5833333333333335,1,1
I've been waiting ages and my PIN hasn't gotten here.,38,53,10,ive waiting age pin hasnt gotten,53,4.4,3,4
I think someone got my card details and used it because there are transactions i don't recognize. What do I do now?,22,115,22,think someone got card detail used transaction dont recognize,115,4.2727272727272725,3,3
I would like to change my pin.,21,30,7,would like change pin,30,3.4285714285714284,1,1
My identity can't be verified.,68,30,5,identity cant verified,30,5.2,2,1
How long does it take for deliver to the US?,12,44,10,long take deliver,44,3.5,1,3
"I have a transfer from the US, How long is the wait?",67,52,12,transfer long wait,52,3.4166666666666665,2,4
What are the fees for using transfer to top off my account?,56,59,12,fee using transfer top account,59,4.0,1,1
What do I need to do to get my salary through this?,50,51,12,need get salary,51,3.3333333333333335,1,2
How is my PIN sent?,38,19,5,pin sent,19,3.0,1,4
Help!  My wallet was stolen and someone is taking money out.  I need this money!  What can I do?,20,96,19,help wallet stolen someone taking money need money,96,3.9473684210526314,4,5
Will the duplicated payment be refunded?,63,40,6,duplicated payment refunded,40,5.833333333333333,1,1
How can I request cash back? The ATM gave me the wrong amount that I've been charged though...,75,94,18,request cash back atm gave wrong amount ive charged though,94,4.277777777777778,5,7
I'm not sure what I need to verify my identity.,69,47,10,sure need verify identity,47,3.8,2,2
I need a refund?,52,16,4,need refund,16,3.25,1,1
Do I have to verify my identity?,74,32,7,verify identity,32,3.7142857142857144,1,2
The app reverted my top up,61,26,6,app reverted top,26,3.5,0,1
I need to terminate my account immediately.,55,43,7,need terminate account immediately,43,5.285714285714286,1,1
What should I do if I see a withdrawal is pending?,46,50,11,see withdrawal pending,50,3.6363636363636362,1,3
where do i find out about exchange fees,31,39,8,find exchange fee,39,4.0,0,0
My card payment was cancelled.,53,30,5,card payment cancelled,30,5.2,1,1
the money i transferred didnt arrive,66,36,6,money transferred didnt arrive,36,5.166666666666667,0,0
Why is my card payment cancelled?,53,33,6,card payment cancelled,33,4.666666666666667,1,1
"Something went wrong, I was charged an extra pound?",34,51,9,something went wrong charged extra pound,51,4.777777777777778,2,2
I need to find out why my transfer didn't get there.,66,52,11,need find transfer didnt get,52,3.8181818181818183,2,1
Do you know what your exchange rates are?,32,41,8,know exchange rate,41,4.25,1,1
"What does it mean when a transfer is ""pending""?",48,47,9,mean transfer pending,47,4.333333333333333,3,1
A transfer could not be completed.,35,34,6,transfer could completed,34,4.833333333333333,1,1
"I received a fee for obtaining cash, is this correct?",19,53,10,received fee obtaining cash correct,53,4.4,2,1
Can I use the card at any cash machine?,3,39,9,use card cash machine,39,3.4444444444444446,1,2
What do I do if the ATM took my card?,18,37,10,atm took card,37,2.8,1,5
What's up with the extra fee I got?,19,35,8,whats extra fee got,35,3.5,2,2
How do I link a new payment card?,13,33,8,link new payment card,33,3.25,1,2
How long does it take to activate my card?,0,42,9,long take activate card,42,3.7777777777777777,1,1
"Hello, I tried to top up with my card, but it didn't work. I just got it a couple days before and it works fine. What's the deal? Can you check into this?",59,154,33,hello tried top card didnt work got couple day work fine whats deal check,154,3.696969696969697,8,5
I can't use my virtual disposable card,72,38,7,cant use virtual disposable card,38,4.571428571428571,1,1
When will I be able to see the refund,51,37,9,able see refund,37,3.2222222222222223,0,2
Can I receive payments in another currency?,50,43,7,receive payment another currency,43,5.285714285714286,1,2
Can you tell me why my top up didn't work?,59,42,10,tell top didnt work,42,3.3,2,1
Which fiat currencies do you currently support? Will this change in this future?,36,80,13,fiat currency currently support change future,80,5.230769230769231,2,2
can i top up from a usa credit card,54,35,9,top usa credit card,35,3.0,0,0
"the product is not working, can I get a refund?",52,47,10,product working get refund,47,3.8,2,1
"I draw out money from your ATM during holidays, and was charged insanely. I wouldn't have done it, if i had a little sense about the shocking charges.",76,150,28,draw money atm holiday charged insanely wouldnt done little sense shocking charge,150,4.392857142857143,5,5
"I want to top up by using a credit card, which ones do you support?",54,67,15,want top using credit card one support,67,3.533333333333333,2,1
"When I put the wrong pin too much, I got blocked, so can you help me unblock my pin",49,83,19,put wrong pin much got blocked help unblock pin,83,3.4210526315789473,2,3
A false direct debit payment is showing in my app,28,49,10,false direct debit payment showing app,49,4.0,0,1
I tried activating my card and it doesn't work how do I solve this problem?,0,75,15,tried activating card doesnt work solve problem,75,4.066666666666666,2,2
I cannot find my PIN.,38,21,5,find pin,21,3.4,1,4
Can you tell me where you get your exchange rates?,32,50,10,tell get exchange rate,50,4.1,1,1
The app reverted my top off.,61,28,6,app reverted top,28,3.8333333333333335,1,1
What do I need for the identity verification?,69,45,8,need identity verification,45,4.75,1,2
I had cash transferred but the balance did not change.,5,54,10,cash transferred balance change,54,4.5,1,1
How do I make more than one disposable card in a day?,29,53,12,make one disposable card day,53,3.5,1,2
"This past holiday I made a withdraw at the ATM machine, and it seems I've been charged too much.",76,96,19,past holiday made withdraw atm machine seems ive charged much,96,4.105263157894737,3,6
What is the charge for using a Top up card in the US?,57,53,13,charge using top card,53,3.1538461538461537,1,4
Why is my beneficiary not being allowed to get payment services?,7,64,11,beneficiary allowed get payment service,64,4.909090909090909,1,1
Why is there some cash that I did not deposit in my account?,20,60,13,cash deposit account,60,3.6923076923076925,1,2
"what is going on, i have entered my passcode and its not working",44,64,13,going entered passcode working,64,4.0,1,0
Why can't I get my virtual card to work?,72,40,9,cant get virtual card work,40,3.5555555555555554,2,2
Why have I been charged twice?,63,30,6,charged twice,30,4.166666666666667,1,2
I would like to alter my personal details.,30,42,8,would like alter personal detail,42,4.375,1,1
How do I go about transferring money using my credit card?,62,58,11,transferring money using credit card,58,4.363636363636363,1,2
"I went to an ATM to get cash, but the app says the withdrawal is still pending. How is that possible when I already have the cash with me?",46,138,29,went atm get cash app say withdrawal still pending possible already cash,138,3.793103448275862,3,6
Can you help me figure out what is going on with a debit payment that is showing up on my account I am not sure is suppose to be there.,28,135,30,help figure going debit payment showing account sure suppose,135,3.533333333333333,1,2
There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,45,83,19,payment made noticed gone thru yet ask,83,3.4210526315789473,2,2
Is there a problem that makes my payments show pending?,45,55,10,problem make payment show pending,55,4.6,1,1
Which atms allow me to change my pin?,21,37,8,atm allow change pin,37,3.75,1,1
"I had a cheque deposited, but I still haven't seen the cash.",6,60,12,cheque deposited still havent seen cash,60,4.083333333333333,3,2
I have not received a refund.,51,29,6,received refund,29,4.0,1,1
How do you check my identity?,69,29,6,check identity,29,4.0,1,1
Is there any way I could open an account for my daughter?,1,57,12,way could open account daughter,57,3.8333333333333335,1,2
Am I allowed to get an account for my daughter?,1,47,10,allowed get account daughter,47,3.8,1,2
Is an auto top-up option available?,4,35,6,auto topup option available,35,5.0,2,1
Do I have to change my PIN at a bank?,21,37,10,change pin bank,37,2.8,1,5
Are there any top-up limits?,60,28,5,topup limit,28,4.8,2,1
How can I check the source of my fund?,70,38,9,check source fund,38,3.3333333333333335,1,2
"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",63,266,53,hey went recent credit card payment notice charge restaurant processed twice one meal place would like one charge reversed money put back account,266,4.037735849056604,4,5
Why isn't a recent refund on my statement?,51,42,8,isnt recent refund statement,42,4.375,2,1
I have a second credit card from the US. Will you take it?,54,58,13,second credit card take,58,3.5384615384615383,2,4
Where do I go to edit my personal details on my account?,30,56,12,edit personal detail account,56,3.75,1,2
What is needed for the identity verification?,69,45,7,needed identity verification,45,5.571428571428571,1,1
How does a disposable virtual card work?,37,40,7,disposable virtual card work,40,4.857142857142857,1,1
Why did I not get the amount I specified at the ATM?,75,52,12,get amount specified atm,52,3.4166666666666665,1,6
I haven't seen the cash yet from the cheque I deposited.,6,56,11,havent seen cash yet cheque deposited,56,4.181818181818182,2,2
I forgot my code,44,16,4,forgot code,16,3.25,0,1
My top-up didn't go through,59,27,5,topup didnt,27,4.6,2,1
Why am I seeing a fee for transferring money?,64,45,9,seeing fee transferring money,45,4.111111111111111,1,2
Please help me!  My physical card isn't working right.,14,54,9,please help physical card isnt working right,54,5.0,3,2
My card hasn't arrived yet. What do I do?,11,41,9,card hasnt arrived yet,41,3.6666666666666665,3,3
"I recently transferred some cash, but the balance has not changed.",5,66,11,recently transferred cash balance changed,66,5.090909090909091,2,1
How do I get my salary through this account?,50,44,9,get salary account,44,4.0,1,2
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,34,117,24,think may charged extra app could provide insight may happened,117,3.875,3,3
Google Pay isn't working. What is wrong?,2,40,7,google pay isnt working wrong,40,4.857142857142857,3,3
I asked for cash but I did not receive all the funds,75,52,12,asked cash receive fund,52,3.4166666666666665,0,2
"While abroad, I got cash, and the exchange rate applied is wrong.",76,65,12,abroad got cash exchange rate applied wrong,65,4.5,3,2
How many virtual cards do I get?,29,32,7,many virtual card get,32,3.7142857142857144,1,2
"There is an error, the app says I made an ATM withdrawal and I didn't.",20,70,15,error app say made atm withdrawal didnt,70,3.7333333333333334,3,6
"I made a transfer and the receiver said an amount was received, but less than the right amount. I now have to transfer more to get the remainder to the receiver. Can you tell me about this. What's been going on?",64,211,41,made transfer receiver said amount received le right amount transfer get remainder receiver tell whats going,211,4.170731707317073,6,4
I don't remember my login code,44,30,6,dont remember login code,30,4.166666666666667,1,1
Where do I go to terminate my account?,55,38,8,terminate account,38,3.875,1,2
I would like to change my name after marriage.,30,46,9,would like change name marriage,46,4.222222222222222,1,1
"When I deposit cheques and cash, my balance does not update.",6,60,11,deposit cheque cash balance update,60,4.545454545454546,2,2
"Hearing back from us regarding your important verification results may take 10 minutes to one hour time.  If verification results do fail, double-check to make sure all of your images are clear --  make sure your photos have no glare or blurring. Note: These photos need to be readable as well.  You also need to be 18 years of age or older.  You must be a resident of Switzerland or the European Economic Area to open a new account.",68,433,79,hearing back regarding important verification result may take minute one hour time verification result fail doublecheck make sure image clear make sure photo glare blurring note photo need readable well also need year age older must resident switzerland european economic area open new account,433,4.443037974683544,10,10
Can you explain to me why a top-up would still be pending?,47,58,12,explain topup would still pending,58,3.9166666666666665,2,1
What do you demand for identity verification?,69,45,7,demand identity verification,45,5.571428571428571,1,1
My top-up was reverted by the app.,61,34,7,topup reverted app,34,4.0,2,1
How old does one need to be?,1,28,7,old one need,28,3.142857142857143,1,1
Transfer isn't working?,35,23,3,transfer isnt working,23,7.0,2,1
My statement shows different transaction times.,63,47,6,statement show different transaction time,47,7.0,1,1
Do I need my phone to use the app?,42,34,9,need phone use app,34,2.888888888888889,1,2
Is it possible for me to set up separate accounts for my kids?,1,62,13,possible set separate account kid,62,3.8461538461538463,1,1
Am I able to do a SWIFT transfer with you?,56,42,10,able swift transfer,42,3.3,1,7
can i go into my app to find my pin,38,35,10,app find pin,35,2.6,0,0
I want to change my pin number from an ATM. Is this possible?,21,61,13,want change pin number atm possible,61,3.769230769230769,2,5
Is there a way to know when my card will arrive?,11,48,11,way know card arrive,48,3.4545454545454546,1,1
I would like a refund on one of your products that has been sold to me,52,70,16,would like refund one product sold,70,3.4375,0,1
Someone I don't know has used my card without permission.,22,57,10,someone dont know used card without permission,57,4.8,2,2
Will you guys charge me for topping up by transfer?,56,51,10,guy charge topping transfer,51,4.2,1,1
Can you show me how to top up with Google play?,2,47,11,show top google play,47,3.3636363636363638,1,2
Will topping up by transfer lead to a charge on my account?,56,59,12,topping transfer lead charge account,59,4.0,1,1
Why didn;t my payment work,25,26,5,didnt payment work,26,4.4,1,1
Why won't my top up work,59,24,6,wont top work,24,3.1666666666666665,1,1
Where is the tracking number for the card you sent me?,11,54,11,tracking number card sent,54,4.0,1,1
Can I use a check to get gas?,58,29,8,use check get gas,29,2.75,1,2
Is there a location where I can change my PIN?,21,46,10,location change pin,46,3.7,1,5
I need a disposable virtual card. Please tell me how to order one.,37,66,13,need disposable virtual card please tell order one,66,4.153846153846154,2,2
