text,label,text_length,word_count
"I found the card that I thought I lost, and I would like to reactivate it.",13,74,16
I found my card again. Can I put it back into the app?,13,54,13
I need some help linking my new card.,13,37,8
help me link my card,13,20,5
How do I link my card in the app.,13,33,9
How do I get my card into the app?,13,34,9
I found my card! Can I link it back into the app?,13,49,12
How do I reactivate my card?,13,28,6
Where do I go to get my new card linked?,13,40,10
"I thought I lost my card but I found it today, so I would like to reactivate it.",13,80,18
How do I link the new card that I just got from you guys?,13,57,14
How can I add a new card?,13,25,7
Can you tell me how to get my card on the app?,13,46,12
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,13,91,18
How do I make my card appear on the app?,13,40,10
How do I link the new card?,13,27,7
Where in the app do I link a new card?,13,38,10
How do I add my card to the app once I get it?,13,46,13
Can I link your physical card,13,29,6
How do I activate and link my new card?,13,39,9
"I got a card, how do I get it in the app?",13,41,12
I received my new card.  Where is it in the app?,13,48,11
"I found my card, how can I use it again?",13,40,10
"I just received a new card, where do I go to link it to my account?",13,67,16
"found card, how to put it back in app",13,37,9
How do I see my card in the app?,13,32,9
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",13,89,18
I don't see my card anywhere in the app.,13,40,9
"I received my card, how do I get it to work in the app?",13,55,14
What do I do if I already had a card with you guys?,13,51,13
if i found a lost card can i put it back in app,13,47,13
I have a card that was deactivated can I reactivate it?,13,55,11
"My new card isn't in my app, how do I get it in there?",13,54,14
Help me access the card I already got so I can information from it.,13,67,14
What is my money worth in other countries?,32,42,8
Will my money be of equal value when I travel abroad?,32,53,11
Do you know the rate of exchange?,32,33,7
What foreign exchange rate will I get on weekdays and on the weekends?,32,70,13
What is the exchange looking like?,32,34,6
How is the exchange rate doing?,32,31,6
I would like to know how exchange rates are calculated when transferring funds.,32,79,13
I would like to know what exchange rates you use?,32,49,10
"If I need to cash foreign transfers, how does that work?",32,56,11
Do you know what your exchange rates are?,32,41,8
How do I know what exchange rate I will get?,32,44,10
What are you exchange rates?,32,28,5
Do you have the best exchange rate?,32,35,7
Where can I find your exchange rates?,32,37,7
Your exchange rates come from where?,32,36,6
I need to know what your exchange rates are.,32,44,9
What's the process for exchanges?,32,33,5
What do you think of the exchange rate?,32,39,8
How are exchange rates calculated at this bank?,32,47,8
What do you use to figure out the exchange rate for the card?,32,61,13
What's the foreign exchange rate I will receive?,32,48,8
I need to know what foreign exchange rate I can get.,32,52,11
What are the current exchange rates?,32,36,6
What exchange rate will I receive?,32,34,6
What is the basis of your exchange rates?,32,41,8
How's the exchange rate?,32,24,4
How do you determine your exchange rates?,32,41,7
How do the foreign exchange rates work?,32,39,7
Where are you getting your exchange rates from?,32,47,8
How is the exchange rate calculated?,32,36,6
I'm interested in what your exchange rates are based on.,32,56,10
How do you decide what the exchange rates are?,32,46,9
What is the current exchange rate?,32,34,6
What is the formula for your exchange rate?,32,43,8
What method do you use for the exchange rate?,32,45,9
What are Interbanks current exchange rates?,32,43,6
from where are coming your exchange rates?,32,42,7
How do you calculate exchange rates?,32,36,6
Why is your exchange rate different on different days?,32,54,9
Where can I find the exchange rate for my transfer?,32,51,10
Where can I get your exchange rates from?,32,41,8
How do you find the exchange rate?,32,34,7
How are exchange rates determined?,32,34,5
What value can I get for my currency?,32,37,8
Please explain your exchange rate policy.,32,41,6
What are your exchange rates calculated from?,32,45,7
What is an exchange rate?,32,25,5
What is your opinion on the exchange rate?,32,42,8
What are the exchange rates you assign?,32,39,7
How do you determine exchange rates?,32,36,6
How are your exchange rates calculated?,32,39,6
How is an exchange rate calculated?,32,35,6
"When exchanging, how much are the rates?",32,40,7
What is the exchange rate for EUR?,32,34,7
How can I find your exchange rates?,32,35,7
Could you please tell me your exchange rates?,32,45,8
Is there an exchange rate?,32,26,5
How does the exchange rate work?,32,32,6
What is the present state of the exchange rate?,32,47,9
How are foreign exchange rates determined?,32,42,6
How's the exchange rate looking right now?,32,42,7
Please explain the exchange rates.,32,34,5
What is the foreign exchange rate you will apply?,32,49,9
explain the interbank exchange rate,32,35,5
What will my exchange rate be?,32,30,6
how do you get exchange rates,32,29,6
What exchange rates do you use?,32,31,6
How will I know what the exchange rate is?,32,42,9
What factors effect the exchange rate?,32,38,6
Where does the exchange rate stand right now?,32,45,8
I'd like to know what the foreign exchange rate will be.,32,56,11
Does the exchange rate change?,32,30,5
How do your exchange rates factor in?,32,37,7
Will I know which exchange rate I will get?,32,43,9
How do I know what the exchange rate will be when I make an exchange.,32,69,15
Is the exchange rate the same on weekends as the weekdays?,32,58,11
How do you do exchanges?,32,24,5
On what do you base your exchange rates?,32,40,8
How do you come up with your exchange rate,32,42,9
What factors determine your exchange rate?,32,42,6
How are the exchange rates determined?,32,38,6
I would like to know what your exchange rates are.,32,50,10
Is the exchange rate current?,32,29,5
What are the exchange rates?,32,28,5
How much are the rates of exchange?,32,35,7
How do you decide what your exchange rates are?,32,47,9
Your exchange rates are coming from where?,32,42,7
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,32,105,19
How are the exchange rates for transfers calculated?,32,52,8
How do I know how much money I will have when I travel abroad?,32,62,14
How do you do currency exchanges?,32,33,6
Can you explain your exchange rates basis?,32,42,7
How did you guys get your exchange rate?,32,40,8
Can you tell me your exchange rates?,32,36,7
Could you tell me what your exchange rates are?,32,47,9
Does this app have the same exchange rate as third parties?,32,59,11
what are your exchange rates at?,32,32,6
How is the current exchange rate?,32,33,6
What is the system for determining the exchange rate?,32,53,9
I am travelling and I was wondering what your exchange rates are,32,64,12
How can I tell what foreign exchange rate I will get?,32,53,11
Tell me your opinion on the exchange rate.,32,42,8
I'd like to know what you guys look at to decide an exchange rate,32,65,14
How does the exchange rate work on this app?,32,44,9
where do you find your exchange rates?,32,38,7
I want to know your exchange rates.,32,35,7
What exchange rate is it?,32,25,5
What is the source of your exchange rates?,32,42,8
i need to know about exchange rates,32,35,7
Where do you get those exchange rates?,32,38,7
How do you determine the exchange rate?,32,39,7
What foreign exchange rate will I get?,32,38,7
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",17,91,16
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",17,155,30
I think the currency exchange that's been applied is wrong.,17,59,10
The exchange rate I was charged for a purchase was not right.,17,61,12
Can you please explain why the exchange rate for the item I bought is wrong?,17,76,15
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,17,117,20
My payment has an incorrect exchange rate.,17,42,7
my exchange rate looks wrong for my last payment,17,48,9
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,17,90,15
I was charged the wing amount for an item.,17,42,9
the exchange rate on my payment was wrong,17,41,8
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,17,85,15
An incorrect exchange rate was applied to an item I bought.,17,59,11
The exchange rate was incorrect for an item I bought.,17,53,10
The exchange rate on my payment doesn't look right,17,50,9
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",17,174,31
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,17,115,21
After purchasing an item I noticed the exchange rate was incorrect.,17,67,11
The amount of exchange was not correct for the item i bought.,17,61,12
The exchange rate from my card payment isn't right.,17,51,9
My exchange rate isn't correct.,17,31,5
Why was the exchange rate so wrong when I bought something!,17,59,11
My exchange rate was wrong for an Item I bought!,17,48,10
I was using a foreign currecy to make a payment and the applied the wrong rate.,17,79,16
The exchange rate was incorrect for this item I bought.,17,55,10
I purchased something overseas and the incorrect exchange rate was applied.,17,75,11
The exchange rate is incorrect for my payment.,17,46,8
The item i bought exchanged rate was incorrect.,17,47,8
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,17,84,15
I bought something in another country but the exchange rate is wrong,17,68,12
I bought an item and the exchange rate was wrong.,17,49,10
Exchange rate for my card payment is wrong,17,42,8
the exchange rate at which my card payment is at is wrong,17,57,12
There was a problem with the exchange rate on a purchase.,17,57,11
"I recently purchased something, and the exchange rate was wrong.",17,64,10
What if there is an error on the exchange rate?,17,47,10
Why is my exchange rate wrong?,17,30,6
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,17,110,20
I used foreign currency to buy something and I think the rate applied is incorrect.,17,83,15
This exchange rate on my purchase is wrong.,17,43,8
Why is your exchange rate so bad?,17,33,7
The exchange rate looks wrong on a holiday purchase,17,51,9
"I purchased something abroad, and the exchange rate that was applied was wrong.",17,79,13
I bought something and I take issue with the exchange rate applied.,17,67,12
I think there has been a mistake on my exchange rate for this purchase.,17,71,14
You did not give me the correct exchange rate for an item that I bought.,17,72,15
I checked on google and the exchange rate you are using is really bad. Can you update it?,17,89,18
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",17,89,17
"In regards to my card payment, the exchange rate is incorrect.",17,62,11
I bough an item and the exchange rate was incorrect.,17,52,10
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,17,102,20
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,17,90,16
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,17,95,19
My currency rate is inaccurate.,17,31,5
The currency exchange rate was wrong for a purchase I made.,17,59,11
I purchased something abroad and the incorrect exchange rate was applied.,17,73,11
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,17,89,17
I was charged the wrong exchange rate on a purchase,17,51,10
Can you change the rate for the item I bought in a different currency as it is wrong?,17,85,18
The currency exchange for my purchase in foreign currency is incorrect.,17,71,11
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,17,99,16
My foreign currency exchange has been applied incorrectly.,17,58,8
Why isn't my purchase exchange rate correct?,17,44,7
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,17,90,16
"I purchased something while traveling, and the exchange rate applied was wrong.",17,79,12
Why is the exchange rate different on my recent purchase?,17,57,10
The fee charged when I changed rubles into British pounds was too much.,17,71,13
I wasn't charged the correct exchange rate for an item I purchased.,17,67,12
Does the fee for exchange change?,17,33,6
The rate applied to my purchase in a foreign currency was wrong.,17,64,12
"I bought something while traveling, and the exchange rate was wrong.",17,68,11
something is wrong with my exchange rate charge,17,47,8
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,17,89,16
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,17,132,23
I bought an item then noticed the exchange rate was wrong.,17,58,11
The exchange rate applied is wrong for my international purchase.,17,65,10
My card payment had the wrong exchange rate,17,43,8
They used the wrong rate when I made a purchase with foreign currency.,17,70,13
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,17,95,17
It seems that the rate I got is incorrect.,17,42,9
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,17,108,18
Was I charged more than I should of been for a currency exchange?,17,65,13
What do i do if the exchange rate was wrong for the item i bought overseas?,17,75,16
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,17,147,25
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,17,139,26
What is your exchange rate between UK pounds and Russian rubles for my last transaction,17,87,15
I think there was an error in your exchange rate.,17,49,10
The exchange rate was not correct for the item I bought.,17,56,11
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,17,135,26
My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,17,157,31
The correct exchange rate wasn't given to me for an item I purchased.,17,69,13
"I bought something in another currency, but the exchange rate was incorrect.",17,76,12
the exchange rate is wrong from something I got in another country,17,66,12
"The exchange rate given to me after a purchase, was incorrect",17,61,11
My card payment has the wrong exchange rate,17,43,8
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,17,122,22
Why is the exchange rate different from what I expected?,17,56,10
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,17,97,16
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,17,95,16
Why was I charged extra on my last UK pound to Russian ruble exchange?,17,70,14
The wrong exchange rate was used when I purchased an item.,17,58,11
Why was the wrong rate applied when I bought something in a different currency?,17,79,14
I bought something abroad and the exchange rate applied is wrong,17,64,11
An item I bought had the wrong exchange rate applied.,17,53,10
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,17,87,16
Why was my exchange rate a different amount than usual?,17,55,10
I want to change the wrong exchange rate.,17,41,8
I recently bought something abroad but the exchange rate is incorrect. Why?,17,75,12
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",17,104,18
I did not receive the correct amount for the exchange rate.,17,59,11
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",17,94,18
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,17,89,16
Are you sure this is the interbank exchange rate? This rate is really bad.,17,74,14
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,17,107,18
I believe you charged me too much to exchange my money,17,54,11
"I changed the currency, but why is it costing more?",17,51,10
Why was the exchange wrong for the item I purchased?,17,52,10
"I made an international purchase, but the exchange rate was wrong",17,65,11
My purchase used the wrong exchange rate,17,40,7
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",17,101,20
I made a purchase and was charged at the wrong foreign exchange rate.,17,69,13
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,17,98,19
Why is the exchange rate for my payment incorrect?,17,50,9
Your foreign exchange rate is wrong.,17,36,6
It looks like the exchange rates on my card payment are wrong,17,61,12
There's an error with the rate that is charged.,17,47,9
I bought an item at the wrong exchange rate.,17,44,9
I think the exchange rate on my card payment is incorrect.,17,58,11
I bought an item that I was charged a different exchange rate for.,17,66,13
I am not receiving the correct exchange rate on my card.,17,56,11
When I purchased a product in another country the currency exchange was incorrect.,17,82,13
The exchange rate used on your app is really bad. I'm considering closing my account because of it.,17,99,18
I think I was charged extra on my payment on last Saturday.  Maybe the exchange rate was wrong?  I'd like a refund.,17,115,22
I received the wrong exchange rate for an item i bought.,17,56,11
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,17,93,16
I don't think the charges made when I had currency exchanged are right.,17,71,13
Why am I being charged the wrong currency exchange when I purchased something abroad?,17,85,14
The exchange rate for my card payment doesn't seem right.,17,57,10
"When I bought something abroad, the exchange rate was wrong.",17,60,10
I didn't receive the correct exchange rate for an item that I bought.,17,69,13
Why is the exchange rate on my card wrong?,17,42,9
I am being charged the wrong amount on my card.,17,47,10
The exchange rate is incorrect on an item I recently purchased in a foreign country.,17,84,15
The exchange rate is incorrect for something I bought,17,53,9
My payment had a wrong exchange rate.,17,37,7
The exchange rate for my electronic payment is incorrect.,17,57,9
Why was I charged a higher exchange rate when I bought something abroad?,17,72,13
Why didn't I receive the correct exchange rate for an item that I purchased?,17,76,14
Why is the exchange rate on my card payment different than I expected?,17,70,13
My rate of exchange was wrong.,17,30,6
I recently bought something in foreign currency and I am unsure of the exchange rate. Is this rate applied correctly?,17,117,20
I purchased something abroad but the exchange rate is incorrect.,17,64,10
A foreign purchase I made has the incorrect rate applied to it.,17,63,12
"When I was traveling abroad, the exchange rate was applied wrong.",17,65,11
There's an error in regards to the exchange rate for an item I bought.,17,70,14
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",17,89,17
The exchange rate is bad. Are you sure this is the exchange rate?,17,65,13
I purchased an item and the exchange rate was wrong,17,51,10
Exchange rate on a purchase was incorrect,17,41,7
"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?",17,176,35
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,17,78,14
The exchange rate that was applied for an international purchase was wrong.,17,75,12
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",17,148,27
Why am I being charged more on exchange with things I bought abroad?,17,68,13
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",17,122,23
